[cache] data_root = /root/data/FaceForensics++
[cache] variant = heuristic
[cache] image_size = 256
[cache] device = cpu
  [13400/50000] 18.91 img/s ETA 1935s
  [13425/50000] 18.90 img/s ETA 1935s
  [13450/50000] 18.88 img/s ETA 1936s
  [13475/50000] 18.88 img/s ETA 1934s
  [13500/50000] 18.90 img/s ETA 1932s
  [13525/50000] 18.90 img/s ETA 1930s
  [13550/50000] 18.91 img/s ETA 1928s
  [13575/50000] 18.91 img/s ETA 1926s
  [13600/50000] 18.92 img/s ETA 1924s
  [13625/50000] 18.91 img/s ETA 1923s
  [13650/50000] 18.92 img/s ETA 1921s
  [13675/50000] 18.91 img/s ETA 1921s
  [13700/50000] 18.92 img/s ETA 1919s
  [13725/50000] 18.92 img/s ETA 1917s
  [13750/50000] 18.93 img/s ETA 1915s
  [13775/50000] 18.93 img/s ETA 1913s
  [13800/50000] 18.92 img/s ETA 1913s
  [13825/50000] 18.92 img/s ETA 1912s
  [13850/50000] 18.93 img/s ETA 1910s
  [13875/50000] 18.94 img/s ETA 1908s
  [13900/50000] 18.92 img/s ETA 1908s
  [13925/50000] 18.92 img/s ETA 1906s
  [13950/50000] 18.93 img/s ETA 1904s
  [13975/50000] 18.91 img/s ETA 1905s
  [14000/50000] 18.91 img/s ETA 1904s
  [14025/50000] 18.90 img/s ETA 1904s
  [14050/50000] 18.90 img/s ETA 1902s
  [14075/50000] 18.91 img/s ETA 1900s
  [14100/50000] 18.90 img/s ETA 1899s
  [14125/50000] 18.90 img/s ETA 1898s
  [14150/50000] 18.91 img/s ETA 1896s
  [14175/50000] 18.90 img/s ETA 1895s
  [14200/50000] 18.90 img/s ETA 1894s
  [14225/50000] 18.90 img/s ETA 1893s
  [14250/50000] 18.89 img/s ETA 1893s
  [14275/50000] 18.90 img/s ETA 1891s
  [14300/50000] 18.88 img/s ETA 1891s
  [14325/50000] 18.89 img/s ETA 1889s
  [14350/50000] 18.89 img/s ETA 1888s
  [14375/50000] 18.88 img/s ETA 1887s
  [14400/50000] 18.89 img/s ETA 1885s
  [14425/50000] 18.89 img/s ETA 1883s
